Start,End,Action
155,159,left_straight
171,179,right_uppercut
203,208,left_straight
230,236,left_uppercut
261,266,left_straight
285,290,right_uppercut
321,327,left_straight
338,343,right_straight
350,355,left_uppercut
400,406,right_straight
415,421,right_straight
423,429,left_uppercut
440,446,left_straight
480,485,right_straight
509,514,left_hook
526,533,right_straight
546,552,right_straight
580,585,right_uppercut
587,592,left_uppercut
604,609,right_straight
635,640,left_hook
714,720,right_straight
751,757,right_straight
760,765,left_uppercut
789,795,left_straight
810,814,right_straight
820,826,left_uppercut
882,888,right_straight
990,995,left_hook
1041,1048,left_uppercut
1090,1095,right_straight
