Start,End,Action
144,149,right_straight
473,478,left_hook
548,552,left_uppercut
1074,1081,left_hook
1179,1186,left_hook
1538,1544,left_straight
1552,1561,left_straight
1600,1606,left_straight
1638,1644,right_straight
1732,1738,left_hook
2106,2111,left_uppercut
2141,2147,left_hook
2288,2295,left_uppercut
2355,2361,left_hook
2369,2373,left_uppercut
2381,2387,left_hook
2486,2494,left_hook
2598,2603,right_hook
2643,2651,left_uppercut
2661,2667,left_hook
2703,2711,left_hook
2822,2829,right_hook
2848,2854,left_straight
2870,2876,left_hook
2995,2999,left_hook
3303,3309,left_straight
3480,3488,right_hook
3534,3541,right_hook
3670,3675,right_hook
3681,3688,left_uppercut
3756,3763,left_uppercut
3768,3776,left_hook
3859,3867,right_hook
3914,3922,left_hook
3992,3998,left_hook
4077,4082,right_hook
4135,4142,left_hook
4207,4213,left_hook
4467,4474,right_straight
