Start,End,Action
739,745,left_straight
832,837,right_hook
855,860,left_hook
845,850,left_uppercut
867,873,right_uppercut
877,884,left_uppercut
999,1003,left_straight
1050,1055,left_straight
1078,1085,right_straight
1558,1563,left_straight
1611,1619,left_straight
1656,1663,right_hook
1923,1927,left_straight
2025,2031,left_hook
2085,2090,left_straight
2092,2098,right_straight
2642,2648,right_hook
3192,3199,right_hook
3262,3266,right_straight
3434,3440,right_straight
3644,3651,right_straight
4119,4125,right_uppercut
4267,4273,left_straight
5290,5296,left_straight
6976,6980,right_straight
7038,7045,right_hook
7380,7387,left_hook
7827,7831,left_hook
8055,8060,right_straight
8169,8174,left_straight
8857,8863,right_straight
9028,9033,right_straight
9457,9463,right_hook
10003,10010,left_uppercut
