Start,End,Action
160,164,left_straight
252,258,left_straight
264,270,right_straight
375,382,right_straight
530,536,left_straight
809,815,right_straight
1051,1056,right_hook
1061,1067,right_uppercut
1127,1132,left_uppercut
1140,1144,right_uppercut
1206,1210,left_hook
1216,1221,right_hook
1285,1288,left_hook
1294,1299,right_hook
1308,1314,right_uppercut
1375,1379,right_hook
1394,1398,right_uppercut
1448,1452,left_uppercut
1461,1465,right_uppercut
1474,1480,right_hook
1537,1542,left_hook
1554,1559,right_uppercut
1568,1574,right_hook
