Start,End,Action
386,391,left_uppercut
418,424,left_hook
444,452,right_straight
583,591,left_straight
604,611,left_straight
632,639,right_hook
727,734,right_uppercut
760,769,right_hook
789,797,left_straight
924,931,left_straight
976,983,left_straight
1078,1083,left_straight
1204,1211,left_hook
1238,1245,left_uppercut
1459,1466,left_hook
1627,1635,left_uppercut
1765,1772,right_straight
2047,2053,left_uppercut
2602,2609,right_straight
2641,2647,left_uppercut
2677,2684,right_uppercut
2701,2708,left_straight
2935,2943,left_uppercut
3007,3013,left_uppercut
3123,3130,right_uppercut
3153,3161,right_hook
3182,3189,right_straight
3608,3615,right_straight
