Start,End,Action
226,232,left_straight
332,338,left_straight
389,395,right_straight
432,438,left_uppercut
449,454,right_straight
484,491,right_uppercut
495,502,left_uppercut
597,602,right_uppercut
617,623,right_straight
656,662,right_hook
722,728,left_hook
777,786,left_hook
818,825,right_uppercut
918,924,left_hook
1122,1128,right_straight
1188,1194,left_hook
1366,1374,right_uppercut
1396,1401,left_uppercut
1464,1470,left_uppercut
1549,1554,left_uppercut
1680,1689,left_straight
1729,1736,right_straight
1800,1805,left_straight
