Start,End,Action
164,169,right_straight
206,213,right_uppercut
383,390,right_hook
1043,1050,left_straight
1070,1077,left_straight
1095,1104,left_uppercut
1118,1126,left_straight
1139,1149,left_hook
1954,1962,left_straight
1988,1995,left_hook
2155,2163,left_hook
2287,2295,left_hook
2453,2461,right_hook
2610,2618,left_hook
2716,2725,right_straight
2748,2755,right_hook
2779,2785,left_hook
2970,2979,left_hook
3249,3257,right_hook
3754,3760,right_hook
4213,4219,right_straight
4222,4230,right_straight
4305,4312,right_hook
4967,4974,left_hook
5565,5573,right_straight
5736,5744,right_hook
5781,5787,right_hook
5908,5915,left_uppercut
6283,6291,right_hook
6308,6314,right_uppercut
6455,6462,left_hook
6869,6875,left_straight
6927,6935,left_straight
7170,7178,right_straight
7205,7212,right_straight
7254,7261,left_straight
