Start,End,Action
348,354,right_straight
393,399,left_straight
502,510,left_uppercut
735,742,right_straight
749,755,right_straight
760,767,right_uppercut
803,809,left_straight
836,843,right_uppercut
958,965,right_uppercut
1116,1124,left_straight
1217,1224,left_uppercut
1240,1247,left_uppercut
1315,1321,left_straight
1400,1408,left_straight
1571,1577,right_hook
1765,1772,right_hook
1846,1853,right_hook
2346,2354,right_uppercut
2376,2386,right_straight
2672,2675,left_straight
3157,3164,right_straight
3217,3223,right_uppercut
3369,3376,right_uppercut
3477,3484,left_uppercut
3868,3875,right_uppercut
4036,4041,right_uppercut
